시도,행정구,삶의 만족도,1인당 GRDP,신혼부부수_스케일링,신혼부부수,평균 자살율,평균 소득,미술관,도서관,박물관,인당_기관수_스케일링,청년인구당_기관수_스케일링,인당_학원수_스케일링,인당_초/중/고_개수,학생당_학교수,공원수,평균공원면적,공원시설통합num평균,평균년도,응급실병상수 총합,병원,보건소,보건의료원,보건지소,보건진료소,상급종합,약국,요양병원,의원,정신병원,조산원,종합병원,치과병원,치과의원,한방병원,한의원
대구,달서구,0.3832,2148,0.318852713,8665,24,35316,1,9,1,0.0796202865,0.0775269394,0.507009721,0.000350845079,0.00301866982,180,13615.08889,1.888888889,1991.855556,23.27794424,3.910694632,0.186223554,0,0,0,0.186223554,49.7216889,2.234682647,73.74452736,0.744894216,0,0.93111777,0.744894216,38.36205211,0.93111777,30.54066284
대구,달성군,0.5706,2710,0.831640666,7366,15.1,35803,,,,0.0537359472,0.0699993396,0.406242549,0.000409228488,0.00295083793,94,20427.21383,0,2002.255319,11.01982809,1.89997036,0.379994072,0,2.659958505,3.039952577,0,33.81947242,3.419946649,45.97928272,0.759988144,0,0,0,24.31962061,0,22.03965618
인천,중구,0.3637,8079,0.628303485,3906,18.8,37150,1,4,9,0,0,0.245769868,0.00036425007,0.00309469775,113,15233.82301,1.221238938,2004.964602,28.77114516,1.307779325,0.653889663,0,1.307779325,0.653889663,0.653889663,35.96393145,2.615558651,41.84893841,0,0,0.653889663,0.653889663,23.54002786,1.307779325,11.11612427
인천,동구,0.3377,6297,0.304703929,950,17.7,33141,,,,0.237256673,0.297085202,0.152119621,0.000460232503,0.00502606106,14,14976.63571,7.642857143,1999.214286,38.98371159,0,1.694943982,0,0,0,0,57.62809539,0,69.49270327,0,0,3.389887964,0,42.37359955,0,30.50899168
인천,연수구,0.045,2958,0.496600251,8188,21.3,42624,,,,0.175536235,0.173032974,0.466582902,0.000300150327,0.00205732858,89,10811.96404,0,1995.966292,8.553743429,1.036817385,0.259204346,0,0.259204346,0,0,28.5124781,0.777613039,58.06177358,0,0,0.518408693,0.518408693,31.8821346,1.296021732,20.73634771
인천,남동구,0.6497,3218,0.471111881,9793,25.7,35330,,,,0,0,0.337032989,0.000290874529,0.00252072497,154,14033.67532,2.720779221,1997.162338,13.82904534,1.975577906,0.197557791,0,0,0,0.197557791,44.45050288,2.765809068,70.33057345,0.790231162,0,0.197557791,0.197557791,36.74574905,1.975577906,29.23855301
인천,부평구,0.2927,2144,0.505548646,10302,21.9,34891,,,,0.0281840695,0.0320406251,0.27314763,0.000303731647,0.00310771334,88,10025.65909,4,1991.056818,12.06252888,1.431147494,0.204449642,0,0.204449642,0,0.204449642,46.00116945,1.02224821,64.19718759,0.204449642,0,0.408899284,0.817798568,35.36978807,1.431147494,23.92060812
인천,계양구,0.2794,1676,0.394600997,5143,23.6,34238,,,,0.0989573817,0.106962664,0.242012097,0.000319930611,0.00337521095,64,6754.620359,3.578125,1998.6875,14.54011687,2.423352812,0.346193259,0,0.346193259,0,0,40.50461129,2.077159554,56.77569446,1.384773036,0,0.692386518,0,34.96551915,2.077159554,23.88733487
인천,서구,0.1531,3401,0.608624474,14678,22.6,37648,,,,0,0,0.35600377,0.000293108775,0.00220945647,128,10255.68672,1.8046875,1997.132813,18.84508491,1.527979858,0.16977554,0,0,0,0,30.7293727,1.867530937,46.00917127,0.509326619,0,0.848877699,0.16977554,27.84318852,1.188428778,16.6380029
인천,미추홀구,0.3435,1854,0.512727062,8614,24.2,33180,1,10,4,0.135906186,0.147993019,0.197415713,0.000224575382,0.00233793296,48,14408.60625,2.8125,1998.425532,11.82254362,2.955635905,0.492605984,0,0.246302992,0,0,45.31975054,3.201938897,51.23102235,0.738908976,0,0.492605984,0.246302992,30.54157102,1.724120945,21.18205732
인천,강화군,0.6697,2452,0.174769941,906,21.6,32994,3,3,4,0.40478981,0.698747528,0.132938706,0.000799755711,0.010744286,4,53626.5,6.75,1994.25,18.62384138,1.432603183,1.432603183,0,18.62384138,18.62384138,0,32.94987321,5.730412733,30.08466685,1.432603183,0,1.432603183,0,20.05644457,0,21.48904775
인천,옹진군,0.9803,4538,0.385744616,365,17.4,33155,,,,0,0,0.0139729493,0.00158478605,0.0286225403,,,,,33.95915199,4.851307427,0,0,38.81045942,53.3643817,0,9.702614855,0,14.55392228,0,0,0,0,14.55392228,0,4.851307427
광주,동구,0.6127,3255,0.544671744,2316,20.9,36842,8,4,5,0.392494454,0.385969171,0.524497478,0.000375982254,0.00404162878,48,6470.15625,0.333333333,2004.3125,79.3133728,4.721034095,0.944206819,0,0,0,1.888413638,90.64385463,7.553654552,112.3606115,2.832620457,0,0.944206819,0.944206819,56.65240914,6.609447733,29.27041139
광주,서구,0.314,3649,0.319812327,4647,21.3,38093,,,,0,0,0.483819469,0.00037738536,0.0031665422,86,14094.62558,9.534883721,1994.22093,22.61648359,6.958918027,0.347945901,0,0,0.347945901,0,50.4521557,3.131513112,91.16182616,0.347945901,0,1.739729507,2.783567211,48.71242619,5.219188521,27.48772621
광주,남구,0.5694,1509,0.339799591,3534,26.5,38115,4,5,1,0.267962305,0.277015549,0.632115627,0.000476479251,0.00351849877,,,,,23.07196098,5.179419811,0.470856346,0,0,0.941712693,0,49.91077272,3.766850771,66.39074485,0.470856346,0,1.883425386,0,48.49820368,7.533701543,21.18853559
광주,북구,0.4756,2472,0.462073052,8423,23.8,35534,2,7,6,0.22961391,0.222122437,0.443815351,0.000450120307,0.00383218635,115,27337.36783,0,1992.26087,18.13014619,5.415498214,0.235456444,0,0,0,0,44.97218082,4.238215994,63.10232702,0.470912888,0,1.412738665,0.470912888,42.14670349,6.35732399,18.36560264
광주,광산구,0.4507,3320,0.568648092,8788,21.2,36449,,,,0.141447564,0.11857818,0.466219298,0.000444599137,0.00293147059,219,18406.1832,2.04109589,2001.105023,34.19409266,4.243062593,0.249591917,0,0.249591917,1.747143421,0,37.93797142,3.993470675,52.1647107,0.499183834,0,1.747143421,0.748775752,36.44041991,4.742246427,16.72265845
대전,동구,0.156,1596,0.398494475,3965,24.5,31680,,,,0.3869783,0.330853665,0.256991428,0.000366064437,0.0036036858,51,11127.4098,7.666666667,1996.313725,7.736028505,1.365181501,0.4550605,0,0.4550605,0.4550605,0,52.33195753,5.915786504,72.80968005,0.4550605,0,0.4550605,0.4550605,32.30929552,0.4550605,35.94977952
대전,중구,0.2935,2199,0.30649019,3622,19.6,34935,,,,0.062388615,0.0657731447,0.323259856,0.000421335724,0.00398271333,51,7084.841176,0,,36.10616975,1.32095743,0.440319143,0,0.440319143,0.440319143,0.440319143,62.08499921,5.28382972,73.09297779,0.880638287,0.440319143,0.880638287,0.440319143,37.42712718,0.880638287,34.78521232
대전,서구,0.5377,2681,0.478092837,9331,20.7,37538,3,5,1,0.150826469,0.139114914,0.464432372,0.000359758225,0.00292991157,112,64490.22411,3.4375,1991.6875,17.85812991,4.464532478,0.212596785,0,0.425193569,0.212596785,0.212596785,53.99958331,1.913371062,92.26700455,0.425193569,0,0.425193569,0.212596785,48.04687334,1.913371062,35.92885661
대전,유성구,0.9046,4155,0.619721929,8691,20.2,42261,2,8,7,0.338914997,0.305426605,0.436213165,0.000419348468,0.00311908882,158,15957.33544,0,,8.705590955,3.650731691,0.280825515,0,0.561651029,0.842476544,0,39.59639757,2.527429632,60.09666014,0.280825515,0,0.280825515,0.842476544,27.80172595,0.561651029,30.89080662
